Text,Label
"জিএসএম নেটওয়ার্কের সাথে সংযোগ স্থাপন করতে পারে না","negative"
"প্রসেসর কোরআই-৩ হওয়াতে অনেক কাজ করা যাচ্ছে না","negative"
"আমি এই ফোনটি নিয়ে বেশি খুশি।","positive"
"আমার প্রথম সেল ফোন পর্যন্ত আমি এতে মুগ্ধ","positive"
"আমি আমার এস গ্যালাক্সি ভালবাসি","positive"
"স্ত্রী তার জন্মদিনের উপহার হিসাবে সত্যিই এই ফোন পছন্দ করে!","positive"
"বিশেষ সংস্করণে (আন্তর্জাতিক) সফটওয়্যার আপডেটে সমস্যা আছে। আমি যেমন বুঝতে পারি, তেমন কোনও ওয়ারেন্টিও নেই।","negative"
"আমি কিছুটা উদ্বিগ্ন কারণ সীলটি ভেঙে দেওয়া হয়েছিল এবং একটি জাল সীল দিয়ে প্রতিস্থাপন করা হয়েছিল।","negative"
"দ্রুত বিতরণ,আসল এবং সবকিছু প্রত্যাশার মতো। সবেমাত্র একটি সিম কার্ড পেয়েছে এবং এটি দুর্দান্ত কাজ করে !!","positive"
"আমার কেনা সেরা ফোন। প্রতিটি পয়সা মূল্যবান মনে হয়েছে","positive"
"সময়মতো পৌঁছেছে। একটি যাদুমন্ত্রের মত কাজ করে!","positive"
"এটি পেয়েছি এবং আমার ক্যারিয়ারের মাধ্যমে একটি সিম কার্ড কিনেছে এবং এটি দুর্দান্ত কাজ করে। এটি এখন প্রায় দেড় বছর ছিল এবং এটি এখনও দুর্দান্ত কাজ করে।","positive"
"জঞ্জাল। স্ক্রিনটি কাজ করে না, ফোনটি মাত্র ২ মাস বয়সী কিনবেন না","negative"
"মাইক নিয়ে সমস্যা। যাদের আমি কল করি তারা কয়েক সেকেন্ড পরেও আমার কথা শুনতে পারে না","negative"
"আমি আমার অর্থ নষ্ট করেছি আমার এস ৪ কিনে নেওয়া উচিত ছিল।","negative"
"একেবারে ভালবাসা! সোজা কথা বলার জন্য আমার কাছে এই ফোনটি রয়েছে এবং এটি আশ্চর্যজনক।","positive"
"এটি কারও জন্য উপহার ছিল কিন্তু ব্যক্তি অসন্তুষ্ট ছিল। এটা ভালো না","negative"
"শাওমি নোট ৭,আমার পছন্দের সেরা মোবাইল ","positive"
"আমার মনে হচ্ছে চার্জ না থাকায় এমন হ্যাং হচ্ছে,কিন্তু স্বাভাবিকভাবে তো কোনো সমস্যা দেখি নাই","positive"
"পছন্দ না হয়ে আর যায় কোথায়? বাজেটের মধ্যে সেরা ফোন","positive"
"ল্যাপটপ অনেক ধীরে কাজ করে,কেন যে এই ল্যাপটপটা কিনলাম!☹️","positive"
"অনেক অসাধারণ একটা পণ্য পেয়েছি ","positive"
"পছন্দের স্পেসিফিকেশন এবং কালার পেয়েছি আলহামদুলিল্লাহ ","positive"
"রিয়েলমি ফোনটা আসলেই অনেক জোস এবং অনেকক্ষণ চার্জ  থাকে","positive"
"এত কম দামে সর্বোচ্চ সন্তুষ্ট হওয়ার মতো একটা ফোন","positive"
"ফোনটাকে আমার আসল মনে হচ্ছে না হাতে পাওয়ার পর","negative"
"ব্যাটারির ক্ষমতা বেশি হলেও চার্জ থাকে না","negative"
"ফোনটা আশানুরূপ পাই নি,হ্যাং খাচ্ছে প্রায় সময়ই","negative"
"কম বাজেটে রিয়েলমির সেরা একটা ফোন কিনে নিলাম ","positive"
"পণ্যটি অক্ষুণ্ণ অবস্থায় পেয়েছি এবং প্যাকিং টা দারুণ ছিলো ","positive"
"প্যাকিং মোটামুটি মানের,মোবাইলের জন্যে প্যাকিং আরও ভালো হওয়ার দরকার ছিলো ","positive"
"সম্পূর্ণ চার্জে ফোনটি ২-৩ দিন পর্যন্ত টানা চলছে","positive"
"গতকাল হঠাৎ করেই ডিসপ্লের আলো চলে যায়","negative"
"আকাঙ্ক্ষা অনুযায়ী ব্যাটারি তেমন শক্তিশালী ছিলো না","negative"
"তুলনামূলক দ্রুত ডিভাইস গরম হয়ে উঠে ","negative"
"ফিঙ্গার প্রিন্ট সেন্সর খুবই দুর্বল ","negative"
"রক্ষণশীল গ্লাস,স্থানীয় শো-রুম থেকে লাগানোর পরও তার উপর ফিঙ্গার প্রিন্ট একদমই কাজ করছে না","negative"
"৪জি পরিপূর্ণ ব্যাকআপ দিতে সমস্যা হয়","negative"
"৪কে ভিডিও সাপোর্টে সমস্যা করছে","negative"
"অনুমান করে আঙুল  চেপে লক খুলতে পারছিলাম না","negative"
"ফোনটা খুবই বাজে এবং ধীর গতির ","negative"
"বাংলাদেশে ব্যবহার করার মতোন উপযুক্ত ফোন এটা না","negative"
"মোবাইলের জন্যে প্যাকিং আরও ভালো হওয়ার দরকার ছিলো","negative"
"একসাথে অনেক কাজ করার জন্যে ভালো একটি ফোন","positive"
"মোবাইলটা গেম খেলার জন্যে উপযুক্ত না","negative"
" গেম খেললে দ্রুত গরম হয়ে যায় মোবাইল ","negative"
"ফোনটার স্পিড ভালোই,চালাতেও বেশ স্বাচ্ছন্দ্যবোধ করছি","positive"
"ভিডিও রেজোলিউশন অনেক ভাল কিন্তু দাম একটু বেশি ","positive"
"ল্যাপটপটি দেখতে অসাধারণ হলেও ওজনে একটু ভারী","positive"
"মোবাইলের পর্দার আবরণ এত পাতলা যে হাত থেকে পড়ে গেলে নিশ্চিত ভেঙ্গে যাবে ","negative"
"ম্যাকবুকের আকর্ষণীয় নকশায় মন চায় একটি বার কিনি,কিন্তু দাম অনেক বেশি তো! ","positive"
"আমার বন্ধুরও মোবাইলটি পছন্দ হয়েছে","positive"
"অনেক টাকা দিয়ে ল্যাপটপটি কিনলাম,কিন্তু দ্রুতই চার্জ শেষ হয়ে যায় 😭","negative"
"যারা ইচ্ছেমত ব্যবহার করতে চান, চাইলেই ফোনটি নিতে পারেন ","positive"
"আরে ভাই এত কিছু চিন্তা করলে ভালো র‍্যামের ফোন কিনেন, স্যামসাংও নিতে পারেন ৪ জিবি র‍্যাম ","positive"
"দামতো বেশি হবেই, দ্রুত ফিঙ্গারপ্রিন্ট সেন্সর যে ","positive"
"স্যামসাং দিনে দিনে পণ্যমান হারাচ্ছে ","negative"
"এটা কিনবেন না! এটি আপনার হাতে ভান করা খেলনা বলে মনে হচ্ছে।","negative"
"সস্তায় এই মোবাইলটা কিনে ধরা খেয়েছিল আমারই এক বড় ভাই ","negative"
"আপু শাওমির রাউটার কিনতে মানা করেছিলো, কিন্তু আমি তো দেখছি ভালোই কাজ হচ্ছে ","positive"
"যারা যারা কম স্টোরেজ নিয়ে চিন্তিত, দেখতে পারেন এই মোবাইলটির রিভিউ। সত্যিই চমৎকার ","positive"
"আসল হেডফোন চাইলাম আর পেলাম চাইনিজ টা,তবে তেমন খারাপও না ","positive"
"এক মোবাইলে এত কিছু আর কে দেবে!","positive"
"গেম খেলা এবং এডিটিং উভয়ের জন্য দুর্দান্ত প্রসেসর।","positive"
"আমার মতে মাদারবোর্ডটি গুনে মানে সেরা ","positive"
"সবাই এখন প্রসেসর হিসেবে কোর আই ৯ নিচ্ছে, ভালো কর্মদক্ষতাসম্পন্ন বটে","positive"
"২ বছর যেতে না যেতেই ল্যাপটপের হার্ডওয়্যারের অংশগুলি প্রায় বিকল হয়ে গেছে 😭","negative"
"মনের মত সিপিইউ নিলাম বেশ দাম দিয়ে, আশাহত হইনি, পুরো ৪ বছর চালিয়েছি। পয়সা উসুল ","positive"
"ক্রেতাদের রিভিউ এত খারাপ হওয়া সত্ত্বেও তারা পণ্যের দাম কমায়নি ","negative"
"প্রাপ্তবয়স্কদের পরামর্শের জন্য দুর্দান্ত ফোন। । ব্যবহারের জন্য হোয়াটসঅ্যাপ, ইন্টারনেট, অ্যাপ, রেডিও, কীবোর্ড কিওয়ার্টি সহজ।","positive"
"ফোনের রেজোলিউশন অনেক ভালো,তাই চমৎকারভাবে ভিডিও দেখা যায়","positive"
"কেনার কয়েকদিনের মধ্যেই হার্ডওয়্যারে সমস্যা দেখা দিচ্ছে ","positive"
"দুর্দান্ত প্রসেসর এবং গেমিং এর জন্যে একদম পারফেক্ট ","positive"
"প্রসেসর স্পিড আগের চেয়ে বেশি হলে ভালো হইতো","negative"
"ফোনটায় র‍্যাম কিছুটা কম হয়ে গেছে বলে মনে হচ্ছে ","negative"
"সাউন্ডে বেসটা অনেক কম হয়ে গেছে","negative"
"আমার ফোনটিতে কোনো কারণ ছাড়াই টাচ প্রবলেম শুরু হয়েছে ","negative"
"আমার ফোন এর গরিলা গ্লাস ভেঙ্গে গিয়েছে ","negative"
"মাইক্রোমেক্স এর এই ফোনটি এতটা বাজে যে আপনার মাথা নষ্ট করে দিবে","negative"
"মাউসের বাইরের প্লাস্টিক আবরণ এত পাতলা যে হাত থে পড়েই ভেঙ্গে গেল,এমনটা আশা করি নি","negative"
"কিবোর্ডের তার আসলেই অনেক বড়, খুব সহজেই যেকোনো কম্পিউটারে ব্যাবহার করা যাবে মনে হচ্ছে","positive"
"কষ্টের টাকায় ল্যাপটপ কিনবেন তো একটু বুঝে শুনে কিনবেন না! এমন বাজে ল্যাপটপ কেউ কেনে নাকি  ","negative"
"আসলে দাম কোনো বিষয়ই না,পণ্যের মান ভালো হলে তা নির্দ্বিধায় কেনা যায় ","positive"
"রাউটারটির আকার বেশ ছোট হওয়ায় যেকোনো স্থানে সহজেই রাখা যায় ","positive"
"দেশীয় পণ্যের গুণগত মান এত ভালো হবে তা আসলেই বিশ্বাস হয়নি 😲। ","positive"
"দেখতে বেশ চিকন ও ওজনে হালকা হওয়ায় খুব সহজেই বহন করা যায়  ","positive"
"এত দাম দিয়ে ফোনটা কিনে বন্ধুকে উপহার দিইয়েছিলাম কিন্তু সেটা প্রথম সপ্তাহেই নষ্ট হয়ে গেল! আমার বিশ্বাসই হচ্ছে না।","negative"
"কি লাভ হবে সস্তায় কিনে, কারণ সবারই জানা আছে যে সস্তার তিন অবস্থা!","negative"
"ওয়ালটনের পণ্যে বেশ ছাড় দেয়া হচ্ছে বলে মনে করার কারণ নেই যে পণ্যগুলি খারাপ। ","positive"
"কেবল মোড়কের নকশাই নয়,ভিতরে পণ্যটাও কিন্তু চমৎকার","positive"
"ভোক্তাদের রিভিউ বেশ খারাপ হওয়ায় পণ্যটির আমদানি বন্ধ করা হলো","negative"
"খুব যত্নে ব্যবহারের পরও ল্যাপটপটি বেশি দিন টিকাতে পারিনি ","negative"
"কেনার সময় বলা হলো চার্জ থাকবে ৪ ঘণ্টা, কিন্তু এখন দেখছি ২ ঘণ্টাও যাচ্ছে না। এটা কি প্রতারণা নয়!","negative"
"মাদারবোর্ডের গুনমান ভালো হওয়ায় আমার এই পুরাতন  মডেলের ল্যাপটপটাও বেশ কিছুদিন চালিয়েছি ","positive"
"২জিবি গ্রাফিক্স কার্ড দিয়েও ভালোই কাজ চলে, সেখানে আপনার তো ৪জিবি। মনে হচ্ছে সমস্যা অন্য কোথাও ","positive"
"কেনার সময় কনফিগারেশনে কত কিছু লিখা ছিল, কিন্তু বাস্তবে এর ছিটেফোঁটাও মিল নেই। পুরোই ধোঁকাবাজি।","negative"
"চার্জ জনিত সকল সমস্যা দূর করবে এই নতুন মডেলের মোবাইলটি। ইতোমধ্যে, বেশ ভালো পরিমাণ বিক্রি হয়েছে।","positive"
"ভালো জিনিসের মূল্য যারা বোঝে তারা ঠিকই এই রাউটারটাই নেবেন, জোরাজুরি করি লাগবে না।","positive"
"বাজেটের মধ্যেে সেরা ফোন হওয়ায় রিলিজের ৭ দিনের মাথায়ই স্টক শেষ হয়ে গেছে😍। আবার আমদানি করতে হবে","positive"
"ক্রেতাদের পকেটের কথা মাথায় রেখেই এই বিশেষ মূল্যের ফোন বাজারে আনলো শাওমি ","positive"
"বেশ ভালো সাউন্ড কোয়ালিটি😍, আমি অবশ্যই এটা নিতে বলবো ","positive"
"যারা একটু ভালো বাজেট দিয়ে বেশ ভালো মানের সিপিইউ খুঁজছেন, তারা অবশ্যই এম এস আইয়ের পণ্যটি দেখবেন,আমার খুব পছন্দের।","positive"
"পণ্যের মান ভালো না হলে কি আর ক্রেতাদের হাত করা যাবে! কেন এসব জিনিস দেন তাদেরকে?","negative"
"কম দামে দিচ্ছে বলে হেডফোনের মান নিয়ে প্রশ্ন  তুলবেন না,লাগলে আগে একটা ব্যবহার করে দেখুন। তারপর বলবেন জিনিসটা কেমন।","positive"
"বিশেষ অফারের কথা বলে আমাকে মানহীন পণ্য দেয়া হয়েছে,এরকম প্রতারণা মেনে নেয়া যায় না😡।","negative"
"বলা হয়েছিল মোবাইলের পর্দায় গরিলা গ্লাস লাগানো থাকবে,কোথায় সেটা। নাহ আমি তাদের সেবা নিয়ে মোটেও সন্তুষ্ট না😣 ","negative"
"কেনার সময় ভালোভাবে দেখে নিতে হবে,নাহয় আমার মত প্রতারণার শিকার হতে হবে। বাসায় নিয়ে দেখি হেডফোনই দেয়া হয়নি মোড়কের ভিতরে😐 । ","negative"
"এস এস ডি ২৫৬ জিবি লাগানোর পর থেকেই বেশ দ্রুত কাজ করছে ল্যাপটপটা, দারুণ ব্যাপার","positive"
"মোবাইলের ক্যামেরা রেজোলিউশন যথেষ্ট আধুনিক,পিকনিকে গিয়ে বেশ ভালোই ছবি তুলেছি ","positive"
"যারা একটু বেশি ছবি তোলায় পটু ,তারা দেখেই চিনবে যে ফোনটার ক্যামেরা কি জিনিস! ","positive"
"কিনে আনার ১ সপ্তাহের মধ্যেই ডিসপ্লেতে সমস্যা! নাহ আমি তাহলে এই ফোনটা নিচ্ছি না।","negative"
"দাম বেশি তো কি হয়েছে, কেমন চমৎকার ভিডিও করা যায় তা দেখে নিন বুঝতে পারবেন এমনি ।","positive"
"দোকানদার বলেছিল এই ল্যাপটপ নাকি বাজারের সেরা, কিন্তু আমার কাছে মনে হচ্ছে সে আমাকে বোকা বানিয়েছে, কারণ শুরু থেকেই বেশ হ্যাং করছে।","negative"
"ইয়ারফোনের তার এত ছোট হবে তা বিজ্ঞাপন দেখে বুঝতে পারিনি ","negative"
"ডিসপ্লেটা আরেকটু বড় হলে গেম খেলে মজা পাওয়া যেত ","negative"
"চার্জ দিলে তো গরম হয়ই,কাজ করার সময়ও বেশ গরম হয়ে যায় ","negative"
"ওয়ারেন্টি অথবা গ্যারান্টি তো দিবেই না সাথে সার্ভিসিং টাও নাকি নিজের খরচে করা লাগবে ,তাহলে কেন আমি এই মোবাইলটা কিনব?","negative"
"ঠিক আমি কী প্রত্যাশা করছিলাম। ধন্যবাদ.","positive"
"ভালো মানের ভ্রমণের ভিডিও বানাতে গেলে শাওমির নতুন মোবাইলটি ব্যবহার করা যেতে পারে, বেশ ভালো ভিডিও করা যায়।","positive"
"ক্যামেরার পিক্সেল আর মান ভালো না হওয়ায় সাজেক গিয়েও মনের মত ভিডিও এবং ছবি তুলতে পারলাম না 😭।","negative"
"সাধ্যের মধ্যে কেনা সবচেয়ে ভালো মানের ল্যাপটপ এটি, প্রসেসর তো পুরাই অসাধারণ।","positive"
"আকর্ষণীয় নকশার সাথে আধুনিক মানের ক্যামেরা,এক কথায় ফোনটি অসাধারণ।","positive"
"আইফোনের এরায়পডের নতুন ভার্সনটা খুব নান্দনিক।","positive"
"ক্যাশব্যাক অফারে রাউটারটা কিনেছিলাম, এখন দেখছি ভালো কানেকশান নেয় না।","negative"
"দাম অনুযায়ী ফোন দুর্দান্ত কাজ করে","positive"
"আরে এই ল্যাপটপে তো গ্রাফিক্স কার্ডই নাই, গ্রাফিক্স কার্ড ছাড়া কাজগুলো করা কতটা জটিল বুঝতে পারছেন!","negative"
"আসলে ভালো একটা সিপিইউ বানিয়েছেন,এর ভিতরে ডাবল ফ্যান প্রোজেক্টের কাজে বেশ ভালো সাপোর্ট দেবে ","positive"
"দুর্দান্ত ফোন। আমার ছেলে এতে খুশি হয়েছে।","positive"
"২৫৬জিবি এসএসডি লাগানো নতুন ল্যাপটপে অসাধারণ গতি লক্ষণীয় ","positive"
"এ এম ডি প্রসেসর অনেক আগের যুগের, তাই বেশ ভোগান্তি হতে পারে ","negative"
"পুরো ধোঁকাবাজি, ইন্টেল এর প্রসেসর এত খারাপ কিভাবে হয়! তাও আবার জেনুইন কিনলাম","negative"
"দেশি পণ্যের মধ্যেও বেশ কিছু পণ্য তাদের ব্র্যান্ড ধরে রেখেছে , তার মধ্যে ওয়াল্টন অন্যতম ","positive"
"হেডফোনের তার বেশ লম্বা, তাই বেশ ভালো ভাবেই ডেস্কটপে ব্যবহার করা যাচ্ছে ,ধন্যবাদ বিক্রেতাকে ","positive"
"সম্ভব হলে এম এস আই এর মাদারবোর্ড কিনতে পারেন, নির্দিধায় ৫ বছর ব্যবহার করতে পারবেন ","positive"
"সিপিইউ এর কুলিং পদ্ধতি ঠিকমত কাজ করছে না, পুরাই লস খেলাম কিনে ","negative"
"শতভাগ নিশ্চয়তা দিয়েছিলো যে ২বছরের মধ্যে কিছুই হবে না, কথার সাথে কিছুই দেখি মিলে না! ৫মাসের মাথায়ই নষ্ট হয়ে গিয়েছে।","negative"
"দশজনের কথা মত ওয়ালটনের পণ্যটি কিনেছিলাম শেষে দেখি পুরাই আলাদা, কয়েক মিনিট পর পর হ্যাং করে আর ডিসপ্লে বন্ধ হয়ে যায় ","negative"
"র‍্যাম আর রোম ২টাই অসম্ভব ভালো  যদিও ফোনটার অনেক দাম","positive"
"কখনই কিনবেন না এমন খারাপ মানের কীবোর্ড কেননা কাজ করার সময় ব্যাকলিটটা এমনি বন্ধ হয়ে যায় ,তার উপর ইউএসবি তারের সংযোগ বার বার বিচ্ছিন্ন হয়ে যায় ","negative"
"বেশ কয়েকটা বাটন চাপলে কাজই করেনা, ২বার ঠিক করিয়েছি নিজের টাকায় তবুও শেষে অকেজোই রয়ে গেলো ","negative"
"এত সস্তায় গেমিং কিবোর্ড!,আহ ওয়ালটন যা দিচ্ছে না","positive"
"এও কী সম্ভব! কিনলাম গেমিং কীবোর্ড আর ব্যাকলিট নেই! এটা আমি মানতে পারছি না ","negative"
"মাত্র ২ মাসের ব্যবহারে বাটন গুলোর অবস্থা যা হয়েছে! মেকানিক্যাল কীবোর্ড নিয়েছিলাম তাও  চাপ  নিতে পারল না। ","negative"
"কীবোর্ডের বাটনগুলো বেশি নমনীয় আর গোটা গোটা, প্রোগ্রামারদের অবশ্যই পছন্দ হবে","positive"
"যেমন বাইরের সৌন্দর্য তেমনই ভেতরটা ,এক কথায় চমৎকার ল্যাপটপ","positive"
"কতক্ষন পর পর কিবোর্ডের বাটনগুলোর আলো পরিবর্তন হয় আর বাটনগুলোও দেখতে ভালো লাগে, সত্যিই কবোর্ডটা অসাধারণ!","positive"
"৬ ধরণের রংয়ের পরিবর্তনে টাইপিং করার অন্যরকম অনুভূতি আসে, ওয়ালটনের কিবোর্ডটি কিনে লাভবান হয়েছি ","positive"
"নানান মানুযের নানান মত, তাই দেখে শুনে ভালো মানের রাউটার বেছে নেয়া দরকার ,দাম বেশি হয় হোক বেশি দিন ব্যবহার করা যাবে তো ","positive"
"চার্জ নিয়ে কোনো সমস্যা নেই, কিন্তু মোবাইলের স্টোরেজ এত কম যে কারণে আমার নতুন ৬৪জিবির মোবাইলটা নিতে হলো ","positive"
"যারা বেশি পরিমান টাইপিং করেন তারা নিতে পারেন এই কিবোর্ডটা। বাটনগুলো যেমন দেখতে ভালো তেমনি মজবুত টেকসই ","positive"
"সাউন্ডের মান নিয়ে কোনো কথা হবে না তবে হ্যা, ক্যামেরা দিয়ে ছবি ভালো আসবেনা ","positive"
"সত্যি কথা বলতে কি, ১৬জিবি স্টোরেজের মোবাইল দিয়ে বর্তমান যুগে চলা প্রায়ই অসম্ভব। তাই আমার মতে মোবাইলটি কিনবেন না কেউ। ","negative"
"এত ছোট ডিসপ্লে দিয়ে কিছু হবে? আধুনিক যুগে এসেও এই মোবাইলে কিভাবে কিনবো!","negative"
"মনিটরে আছে নেনো এজ ফিচার, দেখতেই অসম্ভব ভালো  ","positive"
"এমনি এমনি গরিবের আইফোন বলা হয়! সস্তায় আইফোনের বেশ কিছু ফিচার দিচ্ছে। ","positive"
