"Text","Reason","Label","Source of Data","Date"
"কলকাতা ও শহরতলির মানুষজনের ক্ষেত্রে কাছাকাছির মধ্যে মনোরম অথচ অন্যরকম জায়গা এই সিমলিপাল।","","positive","Blogs","08/11/2020"
" জঙ্গল ভেদ করে তিরতির করে বয়ে চলেছে নাম না জানা নদী। সেই গতিপথ ধরে কিছুটা ওপরে উঠতেই উস্কি উঁকি মারল। কাছে গেলে আপনার মন ভরে যেতে বাধ্য। ","","positive","Blogs","08/11/2020"
"যেহেতু এই জলপ্রপাতের একেবারে কাছে যাওয়া যায় তাই রোমাঞ্চের নিরিখে এই জায়গা অসাধারণ। ","","positive","Blogs","08/11/2020"
"সত্যিকারের উৎসবে। কলকাতা থেকে আইজল উড়ে আসা সার্থক।","","positive","Blogs","08/11/2020"
"ভালকিমাচান। কলকাতার কাছেই বর্ধমান জেলায় জঙ্গলে ঘেরা এক দারুণ উইকএন্ড ডেস্টিনেশন। ","","positive","Blogs","08/11/2020"
"বারান্দায় বসলে সামনের বিস্তীর্ণ জঙ্গলের পানে চেয়ে, পাখির ডাক শুনে, সময় কেটে যায়। জঙ্গলের ঘ্রাণাস্বাদন করে মেলে এক অনাবিল আনন্দ।","","positive","Blogs","08/11/2020"
"কোলাহল মুক্ত, দূষণ মুক্ত পরিবেশ। গহীন অরণ্যের মাঝে এরকম পায়ে হেঁটে ভ্রমণ বেশ রোমাঞ্চকর।","","positive","Blogs","08/11/2020"
"মনের কোণে বিষণ্ণতার সঞ্চার হল, জঙ্গলের ভিতর পিকনিকের দলের ফেলে যাওয়া থার্মোকলের থালা ও বর্জ্য দেখে। মানুষ হিসাবে অরণ্যের প্রকৃতির কাছে লজ্জিত বোধ হল।","","negative","Blogs","08/11/2020"
"নিশুত রাতে, নিস্তব্ধ জঙ্গলের মাঝে এই অরণ্য সুন্দরী রিসর্টে রাত কাটানো এক রোমাঞ্চকর অভিজ্ঞতা।","","positive","Blogs","08/11/2020"
"জঙ্গলকে ভালবাসলে, নিরিবিলি চাইলে, ভালকির জঙ্গলে অবসর যাপনের সময় অরণ্যের ঘ্রাণাস্বাদনে এক অনাবিল আনন্দ মেলে।","","positive","Blogs","08/11/2020"
"অরণ্যের প্রকৃ্তিকে উপভোগ করে, নানান পাখির কুজন শুনতে শুনতে, উদাস হয়ে যাওয়া মনটা যেন শত ব্যস্ততা থেকে দুদিন মুক্তি পেয়ে একেবারে তাজা হয়ে ওঠে।","","positive","Blogs","08/11/2020"
"জিন্দা পার্কঃ পরিস্কার পরিছন্ন আর সবুজের আচ্ছাদনে মোরান এ পার্কটি যেব ১ টি পরিকল্পিত গ্রাম।","","positive","FP","08/11/2020"
"বন্ধু বান্ধব নিয়ে থাকার জন্য কংলাক পাহাড় এর রিসোর্ট বেস্ট ! ","","positive","FP","08/11/2020"
"ভোরের স্নিগ্ধ আলোয় হাটছিলাম তেতুলিয়ার মহানননদার কিনারা ধরে, সূর্য উঠছে মাত্রই চোখটা সেদিক থেকে সরিয়ে উত্তর পশ্চিমে তাকিয়েছি,হঠাৎ থ হয়ে গেলাম,
তাকিয়েই থাকলাম, কি অদ্ভুত মায়াবি সৌন্দর্যের সেই কাঞনজজ্ঞা যেন  ১৫৭ কিলো দুরে এক বিশাল দানব দারিয়ে আছে","","positive","FP","08/11/2020"
"যিনি আপনাকে সহ এই কাঞ্চনজঙ্ঘাকে বানিয়েছেন, সেই রবের প্রতি আপনেতেই অবনত হয়ে পরবে আপনার সীমাহীন মুগ্ধতা","","positive","FP","08/11/2020"
"এই সেই মেঘের রাজ্য বান্দরবানের নীলগিরি💙💙","","positive","FP","08/11/2020"
"লাল হলদে মিলেমিশে একাকার শরতের কোরিয়া সত্যি বলছি চোখ যায় জুড়িয়া❤️❤️❤️","","positive","FP","08/11/2020"
"নির্জন ও নয়নাভিরাম পাহাড়ের চূড়ায় সুইমিং এর অনুভূতিই আলাদা।","","positive","FP","08/11/2020"
"তবে, এখানে সবকিছুই এক্সপেন্সিভ। এটা বড় নেগেটিভ সাইড।","","negative","FP","08/11/2020"
"এদের সব চাইতে নেগেটিভ সাইড - ওদের ব্যবহার। ","","negative","FC","08/11/2020"
"আংগুর বনে শেয়াল রাজা, আসলে বান্দারবানে ওদের কোন কম্পিটেটর নাই তাই বাঁশের ছাওয়া বানায় টাকা হাতাচ্ছে।","","negative","FC","08/11/2020"
"ভারতের কোন একটা অংশ ঘুরে চলে আসা যাবে এই খানে দুই একদিন থাকার খরচে 🥴","","negative","FC","08/11/2020"
"ধান্দাবাজ হোটেল অতিরিক্ত কষ্ট ভারত থাইল্যান্ড এরকম হোটেল অনেক কম টাকায় বাংলাদেশি টাকাতেও এই চেয়ে অনেক কম","","negative","FC","08/11/2020"
"এখানে গিয়া টাকা নষ্ট না করে প্লিজ নেপাল ইন্ডিয়া ভুটান গিয়ে ঘুরে আইসেন ","","negative","FC","08/11/2020"
"কায়াকিং করার আদর্শ জায়গা কাপ্তাই কায়াক ক্লাব,কাপ্তাই,চট্টগ্রাম","","positive","FC","08/11/2020"
"মনে হয়েছে পাহাড় আকাশ মেঘ ও প্রকৃতি একাকার হয়ে যেন গিলে নিয়েছে আমাকে, হয়ত হারিয়ে গেছি অন্য এক দুনিয়ায় ৷ ","","positive","FP","08/11/2020"
"এই জায়গাটার এখনও কোন নির্দিষ্ট নামকরণ করা হয় নি, তবে অনেকের কাছেই বাংলাদেশের নরওয়ে হিসেবে খ্যাত","","positive","FP","08/11/2020"
"সেইন্ট মার্টিন কেমন থাকবে তা জানি না তবে আপাতত এই দ্বীপটি আমার জীবনের সেরা অভিজ্ঞতাটুকু আমাকে দিয়েছে।","","positive","FP","08/11/2020"
"স্বচ্ছতা আর সাদা পাথর, ভোলাগঞ্জ, সিলেট!","","positive","FP","08/11/2020"
"শেষ বার গিয়ে কানে ধরেছি, এখানে আর যাচ্ছি না। মাছ বাজারের মতো পরিবেশ 😐","","negative","FP","08/11/2020"
"এটা আমাদের খাটি দেশী তাজমহল যেমনই হোক আমাদের দেশী জিনিসই সেরা।","","positive","FP","08/11/2020"
"এই পোস্ট দেখে কেউ পরিবার নিয়ে এইখানে ঘুরতে যাওয়ার কথা ভুলেও চিন্তা করবেন না","","negative","FP","08/11/2020"
"এখানে আসা মানে টাকা আর সময় দুইটাই নষ্ট করা","","negative","FP","08/11/2020"
"২০১৮ তে গেছিলাম,ভালোই লাগছিলো🙂","","positive","FC","08/11/2020"
"মিসকিন এর তাজমহল, একটু ও সুন্দর না।","","negative","FC","08/11/2020"
"একটা ক্লাসলেস স্থাপনা। যে গেছে সে ভোদাই হয়েছে।","","negative","FC","08/11/2020"
"ঘুরে আসার পরে প্রাণ খুলে বাংলার তাজমহল কে গালি দিতে মন চাইবে","","negative","FC","08/11/2020"
"ফালতু, গিয়ে মেজাজ খারাও হয়েছে। আর রাস্তা ঘাট জঘন্য","","negative","FC","08/11/2020"
"ওরা বটপার, সিন্ডিকেট, টিকেট মূল্য অনেক বেশি দেখার মতো তেমন কিছু নেই।","","negative","FC","08/11/2020"
"এডিট করা ছবিতে যত সুন্দর, বাস্তবে ততটাই বোরিং।আমিও এমন ছবি দেখে লোভে পরে গেসিলাম।লোভে পাপ পাপে পয়সা নষ্ট করসি।","","negative","FC","08/11/2020"
"আবার এরেকটা নরমাল জায়গারে ওভার হাইপ করে তারে আসল তাজমহল থেকেও সুন্দর করে তোলার ধান্দা","","negative","FC","08/11/2020"
"এরিয়া টা আরেকটু বড় হলে ভালো লাগত। একদম ছোট একটা জায়গা তাই বেশি ভালো লাগে নি","","negative","FC","08/11/2020"
"এইডা দেখার পর আসল তাজমহল দেখার আগ্রহটাই হারিয়ে ফেলছি।","","negative","FC","08/11/2020"
"ফালতু কাকে বলে এখানে না গেলে বুঝা যায় না!!!!","","negative","FC","08/11/2020"
"এখানে কেউ ভুলেও যাবেন না। ফালতু একটা জায়গা । পুরাই ক্লাসলেস।","","negative","FC","08/11/2020"
"আমি গিয়েছিলাম বেশ আগে। একদম ভালো লাগে নি","","negative","FC","08/11/2020"
"হুডাই টাকা, সময় আর শ্রম নষ্ট!","","negative","FC","08/11/2020"
"একটুও ভালো না। সময় আর টাকা নষ্ট অনেক দূর থেকে গেলে।","","negative","FC","08/11/2020"
"এতো সুন্দর না,দেখতে এসে কষ্ট পাবেন","","negative","FC","08/11/2020"
"ক্রিসতং এর জঙ্গল  বাংলাদেশের অন্যতম সুন্দর একটি ট্রেইল ❤️❤️","","positive","FP","08/11/2020"
"মেঘের দেশে আড্ডা দিতে ভিডিওটি করলাম,অপরুপ প্রকৃতির প্রেমে পড়ে গেলাম 😍😍","","positive","FP","08/11/2020"
"বিকালে পেলাম জীবনের সেরা সুর্যাস্ত দেখার সূর্য কপাল। ","","positive","FP","08/11/2020"
"রাতে ফকফকা চাঁদের আলোতে দুনিয়ার একূল ওকূল যেনো ভেসে যাচ্ছিলো।","","positive","FP","08/11/2020"
"প্রাকৃতিক এই টর্চলাইট দেখতে চাইলে, চীনে যেতে হবে।","","positive","FP","08/11/2020"
"সাজেক আসলেই ‌অনেক সুন্দর 😍","","positive","FC","08/11/2020"
"নেদারল্যান্ডসের একটি ওয়াটারব্রিজ,যেটি অন্য সকল ব্রীজ থেকে ভিন্ন। 🙂সবচেয়ে টানেলের ভেতরের সৌন্দর্যটা মনোমুগ্ধকর।😊","","positive","FP","08/11/2020"
"ভোর ৫ টায় আমরা বান্দার বান  থেকে থানচি এর উদ্দেশ্য রওয়ানা হয়।সকাল সকাল এত ভাল ওয়েদার ছিলো 😍","","positive","FP","08/11/2020"
"আলিকদম এর রাস্তা এত সুন্দর রাস্তা এত জোস জোস ভিউ😍","","positive","FP","08/11/2020"
"থানচির রাস্তাটা অনেক অ্যাডভেঞ্চারাস 💖","","positive","FC","08/11/2020"
"মেঘগুলো পাহাড় ছুঁয়ে থাকে , দেখে মনে হয় কেউ আগুন জ্বালিয়েছে আর আকাশে ধোঁয়া উড়ে যাচ্ছে ।💖 চোঁখ ফেরাতে ইচ্ছা হয়না এত সুন্দর সুন্দর ভিউ।🖤","","positive","FP","08/11/2020"
"থানচি থেকে আলীকদম এর রাস্তা এবং ভিউ জাস্ট ওয়াও 😍👌👌👌","","positive","FP","08/11/2020"
"দৃষ্টিনন্দন এ ডাকভবন পথচারী ও দর্শকদের সহজেই দৃষ্টি কাড়ে।","","positive","FP","08/11/2020"
"ঐতিহাসিক আশুড়ার বিলে প্রকৃতিপ্রেমী পর্যটকদের সুবিধার্থে নির্মিত দৃষ্টিনন্দন আঁকাবাঁকা শেখ ফজিলাতুন্নেসা কাঠের সেতু।","","positive","FP","08/11/2020"
"একবার এর রূপ লাবন্য প্রত্যক্ষ করলে বার বার ছুটে যেতে ইচ্ছে করবে সেখানে।","","positive","FP","08/11/2020"
" শেখ রাসেল জাতীয় উদ্যানের প্রকৃতি এমনই মনোমুদ্ধকর যে মনে হবে প্রকৃতি যেন নিজ হাতে সাজিয়েছে এই বনকে।","","positive","FP","08/11/2020"
"বনের মধ্যে প্রবেশের পর চোখে পড়বে অসম্ভব সুন্দর একটি বিল যা আশুরার বিল নামে পরিচিত। বিলের চারপাশ এতটাই প্রাকৃতিক যে, মনে হবে না এটা কৃত্রিমভাবে সাজানো।","","positive","FP","08/11/2020"
"বিলের উপর তৈরি করা হয়েছে শাল কাঠের ব্রিজ যার সৌন্দর্য বিলটিকে করেছে আকর্ষণীয়।","","positive","FP","08/11/2020"
"আমিও গিয়েছিলাম একদম ভাল্লাগে নাই।","","negative","FC","08/11/2020"
"ফালতু। তাজমহল নিয়ে মস্করা। গেলে পয়সা পানিতে যাবে। এরা পেইড প্রমোটার। একটা পচা জায়গাকে প্রমোট করছে।","","negative","FC","08/11/2020"
"দেখার মত কিছুই নাই।তাজমহল নাম দিলেও তাজমহল এর মত কিছুই না।","","negative","FC","08/11/2020"
"অন্যন্য সৌন্দর্যের লীলাভূমি ছেঁড়া দ্বীপ","","positive","FP","08/11/2020"
"মহেরা জমিদার বাড়ি ট্যুর টা ছিল লাইফের সেকেন্ড ট্যুর 🥰🥰অসম্ভব সুন্দর জায়গা 🤗","","positive","FP","08/11/2020"
"সাজেকের সকাল অনেক বেশি সুন্দর 🤗","","positive","FC","08/11/2020"
"মিঠামইন,কিশোরগঞ্জ জায়গাটা অনেক সুন্দর, মন থেকেই যেন এক প্রকৃতির ছাপ🌺","","positive","FP","08/11/2020"
"প্রাকৃতিক সৌন্দর্যের লীলা ভুমি কক্সবাজার সমুদ্র সৈকত।😍","","positive","FP","08/11/2020"
"পঞ্চগড়!!!  এক ভালোবাসার নাম ❤️ যেখানেই তাকাবেন প্রাকৃতিক সৌন্দর্যের বিশাল ভান্ডার।","","positive","FP","08/11/2020"
"ভারতের মেঘালয় পাহাড়ের নিচে পরে থাকা এক টুকরা কাশ্মীর","","positive","FP","08/11/2020"
"প্রকৃতির সাজানো সকালটা কেবলমাত্র সেন্টমার্টিনে দেখা সম্ভব🖤","","positive","FP","08/11/2020"
"সেদিনের সূর্যাস্তটা এমনি সুন্দর ছিল","","positive","FP","08/11/2020"
"খুব পছন্দের একটা জায়গা।  বার বার যেতে ইচ্ছে করে। ","","positive","FC","08/11/2020"
"সাজেক বাংলাদেশের এমন একটা পর্যটন স্পট , যেটা ছেলে বুড়ো সবার কাছেই এক নজরে ভালো লাগা উচিত।","","positive","FP","08/11/2020"
"আমাদের সাজেক আমার কাছে অন্যতম । এখানের ভিউ , খাবার , মানুষ , কালচার সব কিছুই আমাকে মুগ্ধ করেছে ।","","positive","FP","08/11/2020"
"সকালে ঘুম থেকে উঠে জানালা খুলে মেঘ দেখার কি আনন্দ , আমি সেটা ভাষায় প্রকাশ করতে পারব না ।","","positive","FP","08/11/2020"
" ইশ ! কি অসম্ভব সুন্দর ভিউ ছিল , সেটা ছবি বা ভিডিওতে দেখিয়ে বঝানো সম্ভব না ।","","positive","FP","08/11/2020"
"একদম বারান্দায় মেঘ চলে এসেছিল । কি যে ভালো লাগছিলো !","","positive","FP","08/11/2020"
"সবচেয়ে ভাল লেগেছে জোৎন্সা। ফুল মুন ছিল সেদিন।","","positive","FP","08/11/2020"
"সুন্দর কটেজে  রাত্রিযাপন এবং সকালে সূর্যদয় দেখা। অনুভূতি টা সত্যি অন্যরকম।","","positive","FP","08/11/2020"
"পাহাড় আর সমুদ্রের অপূর্ব মেলবন্ধন আমাকে মুগ্ধ করেছে","","positive","FP","08/11/2020"
"কুয়াকাটা সমুদ্র সৈকতের গোধূলি বেলায় সূর্যাস্ত দেখার মনমুগ্ধকর দৃশ্য যে কাউকে মুগ্ধ করবে","","positive","FP","08/11/2020"
"জাফলং যাওয়ার পথের রাস্তা খুবই ভাঙাচোরা , একেবারে জঘন্য","","negative","FC","08/11/2020"
"জাফলং আমার কাছে একদম ভালো লাগেনি","","negative","FC","08/11/2020"
"দার্জিলিংয়ের ট্রয় ট্রেন এ  চড়াটা খুবই উপভোগ্য মনে হয়েছে","","positive","FP","08/11/2020"
"কক্সবাজার সমুদ্র সৈকতের সূর্যাস্তের অপূর্ব সৌন্দর্য যে কাউকে মুগ্ধ করবে","","positive","FP","08/11/2020"
"নীলগিরি ভ্রমণ আমার কাছে সময়ের অপচয় মনে হয়েছে","","negative","FP","08/11/2020"
"তুলার মত হাওয়ায় যেন মেঘ ভেসে যাচ্ছে-সে কি অপূর্ব সৌন্দর্য ","","positive","FP","08/11/2020"
"রাঙ্গামাটিতে কর্ণফুলী নদী দিয়ে নৌকা ভ্রমণের অভিজ্ঞতা  সত্যি রোমাঞ্চকর","","positive","FP","08/11/2020"
"পাহাড়ের মাঝ দিয়ে এঁকে বেঁকে যাওয়ার রাস্তাটা সত্যিই অসাধারণ","","positive","FP","08/11/2020"
"জায়গাটা খুবই নোংরা ও অস্বাস্থ্যকর-একেবারেই ভ্রমণ উপযোগী নয়","","negative","FC","08/11/2020"
"দেবতা পাহাড় ট্রাকিং ছিল আরও চ্যালেঞ্জিং।পুরো ট্যুর ই ছিল এডভেঞ্চার আর এডভেঞ্চার।  ","","positive","FP","08/11/2020"
"কেওক্রাডং এর চূড়া যেমন পর্যটকের আকাশ ছোঁয়ার স্বপ্ন পূরন করে,সে সঙ্গে মুগ্ধও করে। ","","positive","FP","08/11/2020"
